Bezirk,Ortsteil,Straße,Str. Anfang,Str. Ende,Ortsbeschreibung,Stadt,lat,lon
Tempelhof-Schöneberg,Mariendorf,Großbeerenstr.,Körtingstr.,Wilhelm-Pasewaldt-Str.,Nr. 33,Berlin,52.4329959,13.3752222
Tempelhof-Schöneberg,Mariendorf,Großbeerenstr.,Rathausstr.,Lankwitzer Str.,E. Lankwitzer Str.,Berlin,52.4329959,13.3752222
Tempelhof-Schöneberg,Mariendorf,Großbeerenstr.,Heusingerstr.,Körtingstr.,Nr. 51,Berlin,52.4329959,13.3752222
Tempelhof-Schöneberg,Mariendorf,Großbeerenstr.,Körtingstr.,Heusingerstr.,geg. Nr.55,Berlin,52.4329959,13.3752222
Tempelhof-Schöneberg,Mariendorf,Großbeerenstr.,Lankwitzer Str.,Wilhelm-Pasewaldt-Str.,E. Lankwitzer Str.,Berlin,52.4329959,13.3752222
Tempelhof-Schöneberg,Mariendorf,Grüntenstr.,Wankstr.,Nebelhornweg,Grüntenstr. Nr. 33,Berlin,52.4360819,13.4011445
Tempelhof-Schöneberg,Mariendorf,Hausstockweg,Floningweg,Schwarzkogelweg,E. Floningweg,Berlin,52.4342893,13.3955088
Tempelhof-Schöneberg,Mariendorf,Hirzerweg,Kruckenbergstr.,Wilhelm-von-Siemens-Str.,o.Nr.,Berlin,52.4311139,13.3699452
Tempelhof-Schöneberg,Mariendorf,Hochgallweg,Röthspitzenweg,Hoeftweg,E. Hoeftweg,Berlin,52.4348823,13.3905993
Tempelhof-Schöneberg,Mariendorf,Hochgallweg,Hoeftweg,Röthspitzenweg,Parkbank,Berlin,52.4348823,13.3905993
Tempelhof-Schöneberg,Mariendorf,Hochgallweg,Hoeftweg,Röthspitzenweg,Parkbank,Berlin,52.4348823,13.3905993
Tempelhof-Schöneberg,Mariendorf,Hundsteinweg,Hausstockweg,Hoeftweg,E. Hoeftweg,Berlin,52.4321454,13.3952812
Tempelhof-Schöneberg,Mariendorf,Hundsteinweg,Nicht zugeordnet,Lauberhornweg,geg. Nr. 130,Berlin,52.4321454,13.3952812
Tempelhof-Schöneberg,Mariendorf,Hundsteinweg,Floningweg,Hausstockweg,LM.:15,Berlin,52.4321454,13.3952812
Tempelhof-Schöneberg,Mariendorf,Hundsteinweg,Hoeftweg,Mariendorfer Damm,o. Nr.,Berlin,52.4321454,13.3952812
Tempelhof-Schöneberg,Mariendorf,Illzacher Weg,Prühßstr.,Westphalweg,o. Nr.,Berlin,52.4446625,13.3873042
Tempelhof-Schöneberg,Mariendorf,Illzacher Weg,Prühßstr.,Westphalweg,o. Nr.,Berlin,52.4446625,13.3873042
